STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,GENDER,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,OVER VALID VOTES + NOTA,OVER TOTAL ELECTORS,TOTAL ELECTORS
Tamil Nadu,12,PERAMBUR,19 Azarutheen.m,FEMALE,37,GENERAL,IND,Battery Torch,78,0,78,0.04,0.03,226345
Tamil Nadu,12,PERAMBUR,20 P. Thangamani,MALE,61,GENERAL,IND,Binoculars,78,0,78,0.04,0.03,226345
Tamil Nadu,12,PERAMBUR,21 S. Joseph,MALE,65,GENERAL,IND,Pen drive,77,0,77,0.04,0.03,226345
Tamil Nadu,12,PERAMBUR,22 Ashlin Belmen .a.s,MALE,29,GENERAL,TMGMK,Diamond,70,1,71,0.03,0.03,226345
Tamil Nadu,12,PERAMBUR,23 Nivetha,FEMALE,32,GENERAL,IND,Ring,70,0,70,0.03,0.03,226345
Tamil Nadu,12,PERAMBUR,24 P. Ponraj,MALE,56,GENERAL,IND,Cutting pliers,62,1,63,0.03,0.03,226345
Tamil Nadu,12,PERAMBUR,25 Dr.g. Moorthy,MALE,46,SC,IND,CCTV Camera,52,1,53,0.03,0.02,226345
Tamil Nadu,12,PERAMBUR,26 R. Jayaseelan,MALE,60,GENERAL,IND,Helmet,51,0,51,0.02,0.02,226345
Tamil Nadu,12,PERAMBUR,27 M. Geeta,FEMALE,39,GENERAL,TK,Matchbox,47,0,47,0.02,0.02,226345
Tamil Nadu,12,PERAMBUR,28 S. Sureshkumar,MALE,42,SC,MKat,Telephone,45,1,46,0.02,0.02,226345
Tamil Nadu,12,PERAMBUR,29 M. Joseph,MALE,49,GENERAL,IND,Noodles bowl,43,0,43,0.02,0.02,226345
Tamil Nadu,12,PERAMBUR,30 M. Kadhiravan,MALE,58,GENERAL,IND,Trumpet,41,0,41,0.02,0.02,226345
Tamil Nadu,12,PERAMBUR,31 Dr.r. Saravana Perumal,MALE,52,GENERAL,MANAK,Bucket,39,0,39,0.02,0.02,226345
Tamil Nadu,12,PERAMBUR,32 M.i. Thahira Banu,FEMALE,46,GENERAL,IND,Grapes,32,1,33,0.02,0.01,226345
Tamil Nadu,12,PERAMBUR,33 Amala.r,FEMALE,58,GENERAL,IND,Walking stick,31,1,32,0.02,0.01,226345
Tamil Nadu,12,PERAMBUR,34 S. Malathi,FEMALE,28,SC,VTVTK,Pestle and mortar,32,0,32,0.02,0.01,226345
Tamil Nadu,12,PERAMBUR,35 Reegan Prabhu,MALE,37,SC,IND,Batsman,31,0,31,0.02,0.01,226345
Tamil Nadu,12,PERAMBUR,36 Sivakumar.v,MALE,39,GENERAL,TTNP,Scissors,30,0,30,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,37 H. Dhanasekar,MALE,43,SC,IND,Ship,28,0,28,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,38 B. Venkatesan,MALE,47,SC,IND,Coconut farm,26,0,26,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,39 S. Michael,MALE,41,GENERAL,IND,Bat,24,0,24,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,40 S. Rajesh Kumar,MALE,51,GENERAL,IND,Balloon,21,0,21,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,41 Sathish.b,MALE,45,GENERAL,IND,Robot,19,0,19,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,42 B. Sathish Kumar,MALE,43,SC,IND,Box,19,0,19,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,43 P. Gunasekar,MALE,56,GENERAL,IND,Can,18,0,18,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,44 S. Ramesh,MALE,40,GENERAL,IND,Biscuit,17,0,17,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,45 E. Udhaya Kumar,MALE,56,GENERAL,IND,Letter box,15,1,16,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,46 P. Esakki Muthu,MALE,69,GENERAL,IND,Table,14,0,14,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,47 S. Vishnu Varthan,MALE,29,GENERAL,IND,Pillow,13,0,13,0.01,0.01,226345
Tamil Nadu,12,PERAMBUR,48 M. Tamilselvam,MALE,51,GENERAL,IND,Bicycle pump,12,0,12,0.01,0.01,226345
TURN OUT,,,,,,TOTAL:,,,203072,1312,204384,-,90.3,
Tamil Nadu,13,KOLATHUR,1 V. S. Babu,MALE,75,GENERAL,TVK,Whistle,82614,383,82997,45.09,39.18,211833
Tamil Nadu,13,KOLATHUR,2 M. K. Stalin,MALE,72,GENERAL,DMK,Rising sun,73220,982,74202,40.32,35.03,211833
